date,building_number,month,year,container_type,service_type,bill_description,description,bill_desc_original,desc_original,container_quantity,volume_per_container,weekly_pickups,volume_collected_per_week,total_volume_per_week,waste_stream,share_of_commingled_volume,total_commingled_waste,waste_this_month,data_version
6/1/14,,June,2014,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,,1,0,,Clinical MSW,100,7.46,7.46,032820-00
6/1/14,,June,2014,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,,1,0,,CDD,100,7.28,7.28,032820-00
6/1/14,,June,2014,RO,RO,Milton Airport,Milton Airport,UVA MILTON AIRPORT            ,Milton Airport,1,,1,0,,Maintenance,100,5.29,5.29,032820-00
6/1/14,122,June,2014,RO,RO,Newcomb Hall,Newcomb Hall,UVA NEWCOMB HALL              ,Newcomb Hall,1,,1,0,,Aramark,100,2.56,2.56,032820-00
6/1/14,122,June,2014,RO,RO,Newcomb Hall,Newcomb Hall,UVA NEWCOMB HALL              ,Newcomb Hall,1,,1,0,,Aramark,100,7.2,7.2,032820-00
6/1/14,122,June,2014,RO,RO,Newcomb Hall,Newcomb Hall,UVA NEWCOMB HALL              ,Newcomb Hall,1,,1,0,,Aramark,100,2.75,2.75,032820-00
6/1/14,122,June,2014,RO,RO,Newcomb Hall,Newcomb Hall,UVA NEWCOMB HALL              ,Newcomb Hall,1,,1,0,,Aramark,100,2.56,2.56,032820-00
6/1/14,,June,2014,RO,RO,O Hill,O Hill,UVA O HILL                    ,O Hill,1,,1,0,,Aramark,100,2.75,2.75,032820-00
6/1/14,,June,2014,RO,RO,West Hospital Selfco,West Hospital SelfCo,West Hospital SelfCo,West Hospital SelfCo,1,,1,0,,Clinical MSW,100,5.14,5.14,032820-00
6/1/14,,June,2014,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,,1,0,,CDD,100,4,4,032820-00
6/1/14,,June,2014,RO,RO,West Hospital Selfco,West Hospital SelfCo,West Hospital SelfCo,West Hospital SelfCo,1,,1,0,,Clinical MSW,100,7.29,7.29,032820-00
6/1/14,,June,2014,RO,RO,West Hospital Selfco,West Hospital SelfCo,West Hospital SelfCo,West Hospital SelfCo,1,,1,0,,Clinical MSW,100,3.72,3.72,032820-00
6/1/14,2370,June,2014,8FL,FL,Watson-Webb Dorms,Watson-Webb Dorms,Watson-Webb Dorms,Watson-Webb Dorms,1,8,1,8,3447.5,Housing,0.23,188.71,0.44,032820-00
6/1/14,2370,June,2014,,FL,Watson-Webb Dorms,Watson-Webb Dorms,Watson-Webb Dorms,Watson-Webb Dorms,1,0,6,0,3447.5,Housing,0,188.71,,032820-00
6/1/14,2013,June,2014,T96,FL,West Lawn Cont 1 Mt,West Lawn,West Lawn Cont 1 MT,West Lawn,8,0.5,4,16,3447.5,Housing,0.46,188.71,0.88,032820-00
6/1/14,2013,June,2014,T96,FL,West Range Cont 1,West Range Garage,West Range Cont 1,West Range Garage,8,0.5,4,16,3447.5,On-Grounds,0.46,188.71,0.88,032820-00
6/1/14,267,June,2014,8FL,FL,Wilsdorf,Wilsdorf,Wilsdorf,Wilsdorf,1,8,6,48,3447.5,On-Grounds,1.39,188.71,2.63,032820-00
6/1/14,0,June,2014,8FL,FL,Woody Dorm 2013,Woody Dorm,Woody Dorm 2013,Woody Dorm,1,8,1,8,3447.5,Housing,0.23,188.71,0.44,032820-00
6/1/14,,June,2014,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,,1,0,,Clinical MSW,100,4.16,4.16,032820-00
6/1/14,,June,2014,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,,1,0,,Clinical MSW,100,7.23,7.23,032820-00
6/1/14,,June,2014,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,,1,0,,Clinical MSW,100,5.47,5.47,032820-00
6/1/14,,June,2014,RO,RO,Drama,Drama,UVA DRAMA                     ,Drama,1,,1,0,,On-Grounds,100,2.12,2.12,032820-00
6/1/14,,June,2014,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,,1,0,,CDD,100,5.9,5.9,032820-00
6/1/14,,June,2014,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,,1,0,,CDD,100,5.36,5.36,032820-00
6/1/14,,June,2014,RO,RO,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,University Hospital (Roll Off) Compacted - Dock 7,Main Hospital Dock 7,1,,1,0,,Clinical MSW,100,6.42,6.42,032820-00
6/1/14,,June,2014,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,,1,0,,CDD,100,4.84,4.84,032820-00
6/1/14,,June,2014,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,,1,0,,CDD,100,4.55,4.55,032820-00
6/1/14,,June,2014,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,,1,0,,CDD,100,6.4,6.4,032820-00
6/1/14,,June,2014,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,,1,0,,CDD,100,6.92,6.92,032820-00
6/1/14,207,June,2014,8FL,FL,Zehmer Hall - 8Yd,Zehmer Hall,Zehmer Hall - 8yd,Zehmer Hall,1,8,1,8,3447.5,Off-Grounds,0.23,188.71,0.44,032820-00
6/1/14,207,June,2014,2FL,FL,Zehmer Hall,Zehmer Hall,Zehmer Hall,Zehmer Hall,1,2,3,6,3447.5,Off-Grounds,0.17,188.71,0.33,032820-00
6/1/14,,June,2014,,FL,Woody Dorm 2014,Woody Dorm,Woody Dorm 2014,Woody Dorm,1,0,6,0,3447.5,Housing,0,188.71,,032820-00
6/1/14,,June,2014,RO,RO,Facilities Management,Facilities Management,UVA FACILITIES MANAGEMENT     ,Facilities Management,1,,1,0,,CDD,100,6.6,6.6,032820-00
6/1/14,3714,June,2014,8FL,FL,Trans Care Can 2,Transitional Care Hospital,Trans Care Can 2,Transitional Care Hospital,1,8,3,24,3447.5,Clinical MSW,0.7,188.71,1.31,032820-00
6/1/14,1994,June,2014,8FL,FL,Towers 1222 Jpa,1222 JPA,Towers 1222 JPA,1222 JPA,1,8,6,48,3447.5,Clinical MSW,1.39,188.71,2.63,032820-00
6/1/14,204,June,2014,6FL,FL,Thornton Hall Cont 2,Thornton Hall,Thornton Hall Cont 2,Thornton Hall,1,6,4,24,3447.5,On-Grounds,0.7,188.71,1.31,032820-00
6/1/14,1157,June,2014,8FL,FL,Mr4 Container 1,MR4  ,MR4 Container 1,MR4  ,1,8,3,24,3447.5,Clinical MSW,0.7,188.71,1.31,032820-00
6/1/14,1157,June,2014,2FL,FL,Mr4 West,MR4  ,MR4 - West,MR4  ,1,2,3,6,3447.5,Clinical MSW,0.17,188.71,0.33,032820-00
6/1/14,1697,June,2014,2FL,FL,Moser Radiation Ther,Moser Radiation Therapy,Moser Radiation Ther,Moser Radiation Therapy,1,2,1,2,3447.5,Clinical MSW,0.06,188.71,0.11,032820-00
6/1/14,2428,June,2014,T96,FL,Morea House,Morea House,Morea House,Morea House,2,0.5,3,3,3447.5,Housing,0.09,188.71,0.16,032820-00
6/1/14,2070,June,2014,4FL,FL,Monroe Hill College,Monroe Hill College,Monroe Hill College,Monroe Hill College,1,4,6,24,3447.5,Housing,0.7,188.71,1.31,032820-00
6/1/14,2070,June,2014,6FL,FL,Monroe Hill College,Monroe Hill College,Monroe Hill College,Monroe Hill College,1,6,1,6,3447.5,Housing,0.17,188.71,0.33,032820-00
6/1/14,,June,2014,,FL,Monroe Hill Colleg3,Monroe Hill College,Monroe Hill Colleg3,Monroe Hill College,1,0,6,0,3447.5,Housing,0,188.71,,032820-00
6/1/14,0,June,2014,8FL,FL,Monroe Hill Colleg2,Monroe Hill College,Monroe Hill Colleg2,Monroe Hill College,1,8,1,8,3447.5,Housing,0.23,188.71,0.44,032820-00
6/1/14,83,June,2014,4FL,FL,Monroe Hall,Monroe Hall,Monroe Hall,Monroe Hall,1,4,6,24,3447.5,On-Grounds,0.7,188.71,1.31,032820-00
6/1/14,83,June,2014,4FL,FL,Monroe Hall,Monroe Hall,Monroe Hall,Monroe Hall,1,4,1,4,3447.5,On-Grounds,0.12,188.71,0.22,032820-00
6/1/14,2569,June,2014,4FL,FL,Miller Ctr Gravel,Miller Center Gravel,Miller Ctr Gravel,Miller Center Gravel,1,4,1,4,3447.5,Off-Grounds,0.12,188.71,0.22,032820-00
6/1/14,2210,June,2014,4FL,FL,Metcalf/Lefevre House,Metcalf/Lefevre House,Metcalf/ Lefevre Hse,Metcalf/Lefevre House,1,4,6,24,3447.5,Housing,0.7,188.71,1.31,032820-00
6/1/14,2210,June,2014,6FL,FL,Metcalf/Lefevre House,Metcalf/Lefevre House,Metcalf/ Lefevre Hse,Metcalf/Lefevre House,1,6,1,6,3447.5,Housing,0.17,188.71,0.33,032820-00
6/1/14,5087,June,2014,6FL,FL,Memorial Gymnasium,Memorial Gymnasium,Memorial Gymnasium,Memorial Gymnasium,1,6,3,18,3447.5,IM-Rec,0.52,188.71,0.99,032820-00
6/1/14,1181,June,2014,8FL,FL,Medical School Can 1,Medical School,Medical School Can 1,Medical School,1,8,5,40,3447.5,Clinical MSW,1.16,188.71,2.19,032820-00
6/1/14,,June,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,8.08,8.08,032820-00
6/1/14,,June,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,8.79,8.79,032820-00
6/1/14,55,June,2014,T96,FL,McGuffey Alley,McGuffey Alley,McGuffey Alley,McGuffey Alley,3,0.5,4,6,3447.5,Housing,0.17,188.71,0.33,032820-00
6/1/14,105,June,2014,6FL,FL,McLeod Hall,McLeod Hall,McLeod Hall,McLeod Hall,1,6,5,30,3447.5,Clinical MSW,0.87,188.71,1.64,032820-00
6/1/14,259,June,2014,4FL,FL,Mechanical Engineer,Mechanical Engineer,Mechanical Engineer,Mechanical Engineer,1,4,2,8,3447.5,On-Grounds,0.23,188.71,0.44,032820-00
6/1/14,,June,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,4.95,4.95,032820-00
6/1/14,,June,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,8.05,8.05,032820-00
6/1/14,,June,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,8.84,8.84,032820-00
6/1/14,1155,June,2014,6FL,FL,Mr5 Fl Can 2Nd Pu,MR5  ,MR5 FL Can 2nd PU,MR5  ,1,6,3,18,3447.5,Clinical MSW,0.52,188.71,0.99,032820-00
6/1/14,,June,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,6.31,6.31,032820-00
6/1/14,,June,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,9.06,9.06,032820-00
6/1/14,,June,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,7.99,7.99,032820-00
6/1/14,,June,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,8.18,8.18,032820-00
6/1/14,,June,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,8.39,8.39,032820-00
6/1/14,,June,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,7.8,7.8,032820-00
6/1/14,,June,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,7.45,7.45,032820-00
6/1/14,,June,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,8.64,8.64,032820-00
6/1/14,1155,June,2014,6FL,FL,Mr5 Frontload Cont.,MR5  ,MR5 Frontload Cont.,MR5  ,1,6,6,36,3447.5,Clinical MSW,1.04,188.71,1.97,032820-00
6/1/14,1161,June,2014,8FL,FL,Mr6,MR6,MR6,MR6,1,8,4,32,3447.5,Clinical MSW,0.93,188.71,1.75,032820-00
6/1/14,1988,June,2014,8FL,FL,New Child Care Center,New Child Care Center,New Child Care Ctr,New Child Care Center,1,8,3,24,3447.5,Off-Grounds,0.7,188.71,1.31,032820-00
6/1/14,3168,June,2014,T96,FL,Sawyer Hospitality,Sawyer Hospitality,Sawyer Hospitality,Sawyer Hospitality,3,0.5,3,4.5,3447.5,Clinical MSW,0.13,188.71,0.25,032820-00
6/1/14,3693,June,2014,6FL,FL,Sieg Warehouse,Sieg Warehouse,Seig Building,Sieg Warehouse,1,6,1,6,3447.5,Off-Grounds,0.17,188.71,0.33,032820-00
6/1/14,261,June,2014,6FL,FL,Shelbourne Hall,Shelbourne Hall,Shelbourne Hall,Shelbourne Hall,1,6,2,12,3447.5,On-Grounds,0.35,188.71,0.66,032820-00
6/1/14,5262,June,2014,4FL,FL,Slaughter Rec Center,Slaughter Rec. Center,Slaughter Rec Center,Slaughter Rec. Center,1,4,1,4,3447.5,IM-Rec,0.12,188.71,0.22,032820-00
6/1/14,72,June,2014,8FL,FL,South Lawn,South Lawn,South Lawn,South Lawn,1,8,3,24,3447.5,On-Grounds,0.7,188.71,1.31,032820-00
6/1/14,556,June,2014,4FL,FL,Sponsor's Hall 1,Sponsor's Hall,Sponsor's Hall 1,Sponsor's Hall,1,4,5,20,3447.5,Darden,0.58,188.71,1.09,032820-00
6/1/14,2422,June,2014,,FL,Runk Dining,Runk Dining,Runk Dining,Runk Dining,1,0,6,0,3447.5,Aramark,0,188.71,,032820-00
6/1/14,583,June,2014,8FL,FL,Sponsor's Hall 2,Sponsor's Hall,Sponsor's Hall 2,Sponsor's Hall,1,8,1,8,3447.5,Darden,0.23,188.71,0.44,032820-00
6/1/14,556,June,2014,8FL,FL,Stone Hall,Stone Hall,Stone Hall,Stone Hall,1,8,1,8,3447.5,On-Grounds,0.23,188.71,0.44,032820-00
6/1/14,231,June,2014,4FL,FL,Stores Warehouse,Stores Warehouse,Stores Warehouse,Stores Warehouse,1,4,1,4,3447.5,On-Grounds,0.12,188.71,0.22,032820-00
6/1/14,290,June,2014,4FL,FL,Student Activities Building,Student Activities Building,Student Activities,Student Activities Building,1,4,1,4,3447.5,On-Grounds,0.12,188.71,0.22,032820-00
6/1/14,7147,June,2014,6FL,FL,Telephone Exchange,Telephone Exchange,Telephone Exchange,Telephone Exchange,1,6,2,12,3447.5,On-Grounds,0.35,188.71,0.66,032820-00
6/1/14,5535,June,2014,8FL,FL,The Park,The Park,The Park,The Park,1,8,2,16,3447.5,IM-Rec,0.46,188.71,0.88,032820-00
6/1/14,204,June,2014,6FL,FL,Thornton Hall Cont 1,Thornton Hall,Thornton Hall Cont 1,Thornton Hall,1,6,4,24,3447.5,On-Grounds,0.7,188.71,1.31,032820-00
6/1/14,1985,June,2014,8FL,FL,Stacey Hall,Stacey Hall,Stacey Hall,Stacey Hall,1,8,3,24,3447.5,On-Grounds,0.7,188.71,1.31,032820-00
6/1/14,331,June,2014,T96,FL,Mccormick Observatory,McCormick Observatory,McCormick Observ.,McCormick Observatory,1,0.5,1,0.5,3447.5,On-Grounds,0.01,188.71,0.03,032820-00
6/1/14,2422,June,2014,8FL,FL,Runk Dining,Runk Dining,Runk Dining,Runk Dining,1,8,0,0,3447.5,Aramark,0,188.71,,032820-00
6/1/14,58,June,2014,6FL,FL,Robertson Hall,Robertson Hall,Robertson Hall,Robertson Hall,1,6,5,30,3447.5,On-Grounds,0.87,188.71,1.64,032820-00
6/1/14,5561,June,2014,2FL,FL,North Grounds Rec Ct,North Grounds Rec. Center,North Grounds Rec Ct,North Grounds Rec. Center,1,2,3,6,3447.5,IM-Rec,0.17,188.71,0.33,032820-00
6/1/14,3711,June,2014,8FL,FL,Northridge,Northridge,Northridge,Northridge,1,8,5,40,3447.5,Clinical MSW,1.16,188.71,2.19,032820-00
6/1/14,202,June,2014,6FL,FL,Olsson Hall,Olsson Hall,Olsson Hall,Olsson Hall,1,6,5,30,3447.5,On-Grounds,0.87,188.71,1.64,032820-00
6/1/14,3708,June,2014,,FL,Outpatient Surg Ctr,Outpatient Surgery Center,Outpatient Surg Ctr,Outpatient Surgery Center,1,0,6,0,3447.5,Clinical MSW,0,188.71,,032820-00
6/1/14,221,June,2014,8FL,FL,Physics Building,Physics Building,Physics Bldg,Physics Building,1,8,3,24,3447.5,On-Grounds,0.7,188.71,1.31,032820-00
6/1/14,2335,June,2014,8FL,FL,Pied Fac Apts #115,Piedmont Faculty Apartments,Pied Fac Apts #115,Piedmont Faculty Apartments,1,8,3,24,3447.5,Housing,0.7,188.71,1.31,032820-00
6/1/14,440,June,2014,6FL,FL,Ruffin Hall,Ruffin Hall,Ruffin Hall,Ruffin Hall,1,6,3,18,3447.5,On-Grounds,0.52,188.71,0.99,032820-00
6/1/14,2335,June,2014,4FL,FL,Pied Fac Apts #118,Piedmont Faculty Apartments,Pied Fac Apts #118,Piedmont Faculty Apartments,1,4,3,12,3447.5,Housing,0.35,188.71,0.66,032820-00
6/1/14,2335,June,2014,2FL,FL,Pied. Fac Apts #143,Piedmont Faculty Apartments,Pied. Fac Apts #143,Piedmont Faculty Apartments,1,2,3,6,3447.5,Housing,0.17,188.71,0.33,032820-00
6/1/14,3579,June,2014,6FL,FL,Piedmont Center,Piedmont Center,Piedmont Center,Piedmont Center,1,6,3,18,3447.5,Off-Grounds,0.52,188.71,0.99,032820-00
6/1/14,583,June,2014,8FL,FL,Pkg & Trans Main Shp,P&T Maintenance Shop,Pkg & Trans Main Shp,P&T Maintenance Shop,1,8,2,16,3447.5,Off-Grounds,0.46,188.71,0.88,032820-00
6/1/14,627,June,2014,8FL,FL,Police Building,Police Building,Police Headquarters,Police Building,1,8,1,8,3447.5,Off-Grounds,0.23,188.71,0.44,032820-00
6/1/14,596,June,2014,4FL,FL,Printing Service Center,Printing Service Center,Printing Services,Printing Service Center,1,4,2,8,3447.5,Off-Grounds,0.23,188.71,0.44,032820-00
6/1/14,334,June,2014,4FL,FL,Reactor Building,Reactor Building,Reactor Bldg,Reactor Building,1,4,1,4,3447.5,Off-Grounds,0.12,188.71,0.22,032820-00
6/1/14,2335,June,2014,2FL,FL,Pied Fac Apts #2504,Piedmont Faculty Apartments,Pied Fac Apts #2504,Piedmont Faculty Apartments,1,2,3,6,3447.5,Housing,0.17,188.71,0.33,032820-00
6/1/14,,June,2014,RO,RO,West Hospital Selfco,West Hospital SelfCo,West Hospital SelfCo,West Hospital SelfCo,1,,1,0,,Clinical MSW,100,5.58,5.58,032820-00
7/1/14,3760,July,2014,8FL,FL,Fontaine Rsch Park,Fontaine Research Park,Fontaine Rsch Park,Fontaine Research Park,1,8,3,24,2671.5,Off-Grounds,0.9,193.89,1.74,032820-00
7/1/14,0,July,2014,8FL,FL,Woody Dorm 2013,Woody Dorm,Woody Dorm 2013,Woody Dorm,1,8,1,8,2671.5,Housing,0.3,193.89,0.58,032820-00
7/1/14,263,July,2014,4FL,FL,Env Health & Safety,Environmental Health & Safety,Env. Health & Safety,Environmental Health & Safety,1,4,2,8,2671.5,On-Grounds,0.3,193.89,0.58,032820-00
7/1/14,131,July,2014,6FL,FL,Elson Student Health,Elson Student Health,Elson Student Health,Elson Student Health,1,6,3,18,2671.5,Clinical MSW,0.67,193.89,1.31,032820-00
7/1/14,2030,July,2014,T96,FL,East Range Dr,East Lawn,East Range Dr,East Lawn,6,0.5,4,12,2671.5,Housing,0.45,193.89,0.87,032820-00
7/1/14,2030,July,2014,T96,FL,East Lawn Lile Alley,East Lawn,East Lawn Lile Alley,East Lawn,2,0.5,4,4,2671.5,Housing,0.15,193.89,0.29,032820-00
7/1/14,2030,July,2014,T96,FL,East Lawn Key 2,East Lawn,East Lawn Key 2,East Lawn,1,0.5,4,2,2671.5,Housing,0.07,193.89,0.15,032820-00
7/1/14,2030,July,2014,T96,FL,East Lawn Key 1,East Lawn,East Lawn Key 1,East Lawn,1,0.5,4,2,2671.5,Housing,0.07,193.89,0.15,032820-00
7/1/14,2030,July,2014,T96,FL,East Lawn Green 2,East Lawn,East Lawn Green 2,East Lawn,1,0.5,4,2,2671.5,Housing,0.07,193.89,0.15,032820-00
7/1/14,2030,July,2014,T96,FL,East Lawn Green 1,East Lawn,East Lawn Green 1,East Lawn,1,0.5,4,2,2671.5,Housing,0.07,193.89,0.15,032820-00
7/1/14,228,July,2014,4FL,FL,Fac Mgt Landscape,Facilities Mgt Landscape,Fac Mgt Landscape,Facilities Mgt Landscape,1,4,2,8,2671.5,Maintenance,0.3,193.89,0.58,032820-00
7/1/14,2030,July,2014,T96,FL,East Lawn Rotunda 6,East Lawn Rotunda,East Lawn Rotunda 6,East Lawn Rotunda,1,0.5,4,2,2671.5,On-Grounds,0.07,193.89,0.15,032820-00
7/1/14,2030,July,2014,T96,FL,East Lawn Rotunda 4,East Lawn Rotunda,East Lawn Rotunda 4,East Lawn Rotunda,1,0.5,4,2,2671.5,On-Grounds,0.07,193.89,0.15,032820-00
7/1/14,2030,July,2014,T96,FL,East Lawn Rotunda 3,East Lawn Rotunda,East Lawn Rotunda 3,East Lawn Rotunda,1,0.5,4,2,2671.5,On-Grounds,0.07,193.89,0.15,032820-00
7/1/14,2030,July,2014,T96,FL,East Lawn Rotunda 2,East Lawn Rotunda,East Lawn Rotunda 2,East Lawn Rotunda,1,0.5,4,2,2671.5,On-Grounds,0.07,193.89,0.15,032820-00
7/1/14,2030,July,2014,T96,FL,East Lawn Rotunda 1,East Lawn Rotunda,East Lawn Rotunda 1,East Lawn Rotunda,1,0.5,4,2,2671.5,On-Grounds,0.07,193.89,0.15,032820-00
7/1/14,125,July,2014,8FL,FL,Central Grounds Pk 2,Central Grounds Parking,Central Grounds Pk 2,Central Grounds Parking,1,8,6,48,2671.5,On-Grounds,1.8,193.89,3.48,032820-00
7/1/14,125,July,2014,2FL,FL,Central Grounds Pkng,Central Grounds Parking,Central Grounds Pkng,Central Grounds Parking,1,2,0,0,2671.5,On-Grounds,0,193.89,,032820-00
7/1/14,2616,July,2014,T96,FL,Duke House/Sunnyside,Duke House,Duke House/Sunnyside,Duke House,1,0.5,1,0.5,2671.5,Housing,0.02,193.89,0.04,032820-00
7/1/14,2381,July,2014,8FL,FL,Gooch Dillard Dorms,Gooch Dillard Dorms,Dillard&Gooch Dorms,Gooch Dillard Dorms,1,8,1,8,2671.5,Housing,0.3,193.89,0.58,032820-00
7/1/14,2030,July,2014,T96,FL,East Lawn Rotunda 5,East Lawn Rotunda,East Lawn Rotunda 5,East Lawn Rotunda,1,0.5,4,2,2671.5,On-Grounds,0.07,193.89,0.15,032820-00
7/1/14,2381,July,2014,8FL,FL,Gooch Dillard Dorms,Gooch Dillard Dorms,Dillard Gooch Dorms,Gooch Dillard Dorms,1,8,1,8,2671.5,Housing,0.3,193.89,0.58,032820-00
7/1/14,228,July,2014,8FL,FL,Fac Mgt Sawdust,Facilities Mgt Sawdust,Fac Mgt Sawdust,Facilities Mgt Sawdust,1,8,1,8,2671.5,Maintenance,0.3,193.89,0.58,032820-00
7/1/14,603,July,2014,4FL,FL,Faulkner Miller Ctr,Faulkner Miller Court,Faulkner Miller Ctr,Faulkner Miller Court,1,4,1,4,2671.5,Off-Grounds,0.15,193.89,0.29,032820-00
7/1/14,2390,July,2014,8FL,FL,Hereford College Up,Hereford College,Hereford College Up,Hereford College,1,8,1,8,2671.5,Housing,0.3,193.89,0.58,032820-00
7/1/14,3656,July,2014,8FL,FL,2400 Old Ivy Road,2400 Old Ivy Road,2400 Old Ivy Road,2400 Old Ivy Road,1,8,1,8,2671.5,Off-Grounds,0.3,193.89,0.58,032820-00
7/1/14,2390,July,2014,8FL,FL,Hereford College Low,Hereford College,Hereford Colleg Low,Hereford College,1,8,1,8,2671.5,Housing,0.3,193.89,0.58,032820-00
7/1/14,207,July,2014,8FL,FL,Zehmer Hall - 8Yd,Zehmer Hall,Zehmer Hall - 8yd,Zehmer Hall,1,8,1,8,2671.5,Off-Grounds,0.3,193.89,0.58,032820-00
7/1/14,2210,July,2014,8FL,FL,Hancock House,Hancock House,Hancock House,Hancock House,1,8,1,8,2671.5,Housing,0.3,193.89,0.58,032820-00
7/1/14,67,July,2014,4FL,FL,Halsey Hall,Halsey Hall,Halsey Hall,Halsey Hall,1,4,6,24,2671.5,On-Grounds,0.9,193.89,1.74,032820-00
7/1/14,2440,July,2014,8FL,FL,Gwathey House,Gwathey Hosue,Gwathey House,Gwathey Hosue,1,8,1,8,2671.5,Housing,0.3,193.89,0.58,032820-00
7/1/14,207,July,2014,2FL,FL,Zehmer Hall,Zehmer Hall,Zehmer Hall,Zehmer Hall,1,2,3,6,2671.5,Off-Grounds,0.22,193.89,0.44,032820-00
7/1/14,2565,July,2014,8FL,FL,Faulkner Dorms,Faulkner Dorms,Faulkner Dorms,Faulkner Dorms,1,8,1,8,2671.5,Housing,0.3,193.89,0.58,032820-00
7/1/14,3755,July,2014,8FL,FL,Fontaine Res Park 3,Fontaine Research Park,Fontaine Res Park 3,Fontaine Research Park,1,8,5,40,2671.5,Off-Grounds,1.5,193.89,2.9,032820-00
7/1/14,3754A,July,2014,8FL,FL,Fontaine Rsch Park,Fontaine Research Park,Fontainer Res. Park,Fontaine Research Park,1,8,3,24,2671.5,Off-Grounds,0.9,193.89,1.74,032820-00
7/1/14,2013,July,2014,T96,FL,West Lawn Cont 1 Mt,West Lawn,West Lawn Cont 1 MT,West Lawn,8,0.5,4,16,2671.5,Housing,0.6,193.89,1.16,032820-00
7/1/14,2013,July,2014,T96,FL,West Range Cont 1,West Range Garage,West Range Cont 1,West Range Garage,8,0.5,4,16,2671.5,On-Grounds,0.6,193.89,1.16,032820-00
7/1/14,5576,July,2014,8FL,FL,Univ Hall Cont 1,University Hall,Univ Hall Cont 1,University Hall,1,8,3,24,2671.5,Athletics,0.9,193.89,1.74,032820-00
7/1/14,2410,July,2014,8FL,FL,Univ Gardens Cont 2,University Gardens,Univ Gardens cont 2,University Gardens,1,8,2,16,2671.5,Housing,0.6,193.89,1.16,032820-00
7/1/14,2410,July,2014,8FL,FL,Univ Gardens Cont 1,University Gardens,Univ Gardens cont 1,University Gardens,1,8,2,16,2671.5,Housing,0.6,193.89,1.16,032820-00
7/1/14,407,July,2014,4FL,FL,Fayerweather Hall,Fayerweather Hall,Fayerweather Hall,Fayerweather Hall,1,4,3,12,2671.5,On-Grounds,0.45,193.89,0.87,032820-00
7/1/14,2569,July,2014,4FL,FL,Miller Ctr Gravel,Miller Center Gravel,Miller Ctr Gravel,Miller Center Gravel,1,4,1,4,2671.5,Off-Grounds,0.15,193.89,0.29,032820-00
7/1/14,3754A,July,2014,8FL,FL,Fontaine Res. Park 2,Fontaine Research Park,Fontaine Res. Park 2,Fontaine Research Park,1,8,3,24,2671.5,Off-Grounds,0.9,193.89,1.74,032820-00
